Description,Author,Recipient,Date,Year,Location,Origin,Destination
"12 Apr 1750: Elstob, Elizabeth, 1683-1756 (Whitehall, Westminster, London, England) to Ballard, George, 1705-1755","Elstob, Elizabeth, 1683-1756","Ballard, George, 1705-1755",1750-04-12T00:00:00Z,1750,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Whitehall, Westminster, London, England",
"20 Apr 1750: Elstob, Elizabeth, 1683-1756 (Whitehall, Westminster, London, England) to Ballard, George, 1705-1755 (Oxford, Oxfordshire, England)","Elstob, Elizabeth, 1683-1756","Ballard, George, 1705-1755",1750-04-20T00:00:00Z,1750,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Whitehall, Westminster, London, England","Oxford, Oxfordshire, England"
"8 May 1750: Elstob, Elizabeth, 1683-1756 (Whitehall, Westminster, London, England) to Ballard, George, 1705-1755 (Oxford, Oxfordshire, England)","Elstob, Elizabeth, 1683-1756","Ballard, George, 1705-1755",1750-05-08T00:00:00Z,1750,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Whitehall, Westminster, London, England","Oxford, Oxfordshire, England"
"28 May 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1750-05-28T00:00:00Z,1750,,,"Cavendish Square, London, England"
"Jun 1750: Russel, Clementina, fl. 1741-1749 (London, England, United Kingdom) to Russel, James, 1720-1763 (Rome, Latium, Italy)","Russel, Clementina, fl. 1741-1749","Russel, James, 1720-1763",1750-06-30T00:00:00Z,1750,,"London, England, United Kingdom","Rome, Latium, Italy"
"13 Jul 1750: Montagu, Mary Wortley (Lady), 1689-1762 (Brescia, Lombardy, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1750-07-13T00:00:00Z,1750,,"Brescia, Lombardy, Italy","Cavendish Square, London, England"
"8 Aug 1750: Hopkins, Anna, fl. 1741-1753 (Clapham, (Surrey) Greater London, England) to Ballard, George, 1705-1755","Hopkins, Anna, fl. 1741-1753","Ballard, George, 1705-1755",1750-08-08T00:00:00Z,1750,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Clapham, (Surrey) Greater London, England",
"3 Sep 1750: Montagu, Mary Wortley (Lady), 1689-1762 (Lovere, Provincia di Bergamo, Lombardy, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1750-09-03T00:00:00Z,1750,,"Lovere, Provincia di Bergamo, Lombardy, Italy","Cavendish Square, London, England"
"20 Nov 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1750-11-20T00:00:00Z,1750,,,"Cavendish Square, London, England"
"11 Feb 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-02-11T00:00:00Z,1751,,,"Cavendish Square, London, England"
"2 Mar 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-03-02T00:00:00Z,1751,,,"Cavendish Square, London, England"
"15 Apr 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-04-15T00:00:00Z,1751,,,"Cavendish Square, London, England"
"8 May 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-05-08T00:00:00Z,1751,,,"Temple Bar, Westminster, London, England"
"24 May 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-05-24T00:00:00Z,1751,,,"Temple Bar, Westminster, London, England"
"20 Jun 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-06-20T00:00:00Z,1751,,,"Temple Bar, Westminster, London, England"
"1 Aug 1751: Montagu, Mary Wortley (Lady), 1689-1762 (Lovere, Provincia di Bergamo, Lombardy, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-08-01T00:00:00Z,1751,,"Lovere, Provincia di Bergamo, Lombardy, Italy","Cavendish Square, London, England"
"10 Sep 1751: Montagu, Mary Wortley (Lady), 1689-1762 (Lovere, Provincia di Bergamo, Lombardy, Italy) to Montagu, Edward Wortley, 1678-1761 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-09-10T00:00:00Z,1751,,"Lovere, Provincia di Bergamo, Lombardy, Italy","Temple Bar, Westminster, London, England"
"10 Nov 1751: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1751-11-10T00:00:00Z,1751,,,"Temple Bar, Westminster, London, England"
"16 Jan 1752: Elstob, Elizabeth, 1683-1756 (Whitehall, Westminster, London, England) to Ballard, George, 1705-1755 (Magdalen College, University of Oxford, Oxford, Oxfordshire, England)","Elstob, Elizabeth, 1683-1756","Ballard, George, 1705-1755",1752-01-16T00:00:00Z,1752,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Whitehall, Westminster, London, England","Magdalen College, University of Oxford, Oxford, Oxfordshire, England"
"29 Jan 1752: Montagu, Mary Wortley (Lady), 1689-1762 to Montagu, Edward Wortley, 1678-1761 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1752-01-29T00:00:00Z,1752,,,"Temple Bar, Westminster, London, England"
