Description,Author,Recipient,Date,Year,Location,Origin,Destination
"23 Jan 1650: Lyon, Martha Johana, 1630-1654 (Stamford, Connecticut, United States) to Winthrop, John, 1606-1676 (New London, Connecticut, United States)","Lyon, Martha Johana, 1630-1654","Winthrop, John, 1606-1676",1650-01-23T00:00:00Z,1650,,"Stamford, Connecticut, United States","New London, Connecticut, United States"
"4 Feb 1650: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Breda, North Brabant, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1650-02-04T00:00:00Z,1650,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Breda, North Brabant, Netherlands"
"4 Feb 1650: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Breda, North Brabant, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1650-02-04T00:00:00Z,1650,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Breda, North Brabant, Netherlands"
"12 Feb 1650: Winthrop, Elizabeth, 1610-1673 (Greenwich, Connecticut, United States) to Winthrop, John, 1606-1676 (New London, Connecticut, United States)","Winthrop, Elizabeth, 1610-1673","Winthrop, John, 1606-1676",1650-02-12T00:00:00Z,1650,,"Greenwich, Connecticut, United States","New London, Connecticut, United States"
"15 Mar 1650: Greenwood, Elizabeth, fl. 1648 (Groton, Suffolk, England) to Winthrop, John, 1606-1676","Greenwood, Elizabeth, fl. 1648","Winthrop, John, 1606-1676",1650-03-15T00:00:00Z,1650,,"Groton, Suffolk, England",
"10 Apr 1650: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (Breda, North Brabant, Netherlands) to Polyander van den Kerckhove, Johannes, 1594-1660","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Polyander van den Kerckhove, Johannes, 1594-1660",1650-04-10T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Breda, North Brabant, Netherlands",
"10 Apr 1650: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (Breda, North Brabant, Netherlands) to Polyander van den Kerckhove, Johannes, 1594-1660","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Polyander van den Kerckhove, Johannes, 1594-1660",1650-04-10T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Breda, North Brabant, Netherlands",
"23 Apr 1650: Witt, Johanna de, 1617-1692 (Dordrecht, South Holland, Netherlands) to Witt, Johan de, 1625-1672 (The Hague, South Holland, Netherlands)","Witt, Johanna de, 1617-1692","Witt, Johan de, 1625-1672",1650-04-23T00:00:00Z,1650,"Nationaal Archief, National Archives of the Netherlands
The Hague, National Archives
Algemeen Rijksarchief
Dutch National Archives, The Hague, Den Haag, Netherlands, Nederland","Dordrecht, South Holland, Netherlands","The Hague, South Holland, Netherlands"
"1 May 1650: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (Breda, North Brabant, Netherlands) to Willem II, Prince of Orange, 1626-1650 ~ Polyander van den Kerckhove, Johannes, 1594-1660","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Polyander van den Kerckhove, Johannes, 1594-1660; Willem II, Prince of Orange, 1626-1650",1650-05-01T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Breda, North Brabant, Netherlands",
"30 May 1650: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Rivet, André, 1572-1651 (Breda, North Brabant, Netherlands)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Rivet, André, 1572-1651",1650-05-30T00:00:00Z,1650,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Breda, North Brabant, Netherlands"
"May 1650: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (Breda, North Brabant, Netherlands) to Willem II, Prince of Orange, 1626-1650","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Willem II, Prince of Orange, 1626-1650",1650-05-31T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Breda, North Brabant, Netherlands",
"12 Jun 1650: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Breda, North Brabant, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1650-06-12T00:00:00Z,1650,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Breda, North Brabant, Netherlands"
"12 Jun 1650: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Breda, North Brabant, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1650-06-12T00:00:00Z,1650,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Breda, North Brabant, Netherlands"
"2 Jul 1650: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Polyander van den Kerckhove, Johannes, 1594-1660","Solms-Braunfels, Amalia von, 1602-1675","Polyander van den Kerckhove, Johannes, 1594-1660",1650-07-02T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","The Hague, South Holland, Netherlands",
"2 Jul 1650: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Polyander van den Kerckhove, Johannes, 1594-1660 (Buren, Gelderland, Netherlands)","Solms-Braunfels, Amalia von, 1602-1675","Polyander van den Kerckhove, Johannes, 1594-1660",1650-07-02T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","The Hague, South Holland, Netherlands","Buren, Gelderland, Netherlands"
"14 Jul 1650: Horst, Ewout van der, b.1627 ~ Verschuer, Maria, b.1630 (Rotterdam, South Holland, Netherlands) to Witt, Johan de, 1625-1672 (The Hague, South Holland, Netherlands)","Horst, Ewout van der, b.1627; Verschuer, Maria, b.1630","Witt, Johan de, 1625-1672",1650-07-14T00:00:00Z,1650,"Nationaal Archief, National Archives of the Netherlands
The Hague, National Archives
Algemeen Rijksarchief
Dutch National Archives, The Hague, Den Haag, Netherlands, Nederland","Rotterdam, South Holland, Netherlands","The Hague, South Holland, Netherlands"
"31 Oct 1650: Defet, Maria, fl. 1650 (London, England, United Kingdom) to Godeschalck, Joos, fl. 1636-1650 (London, England, United Kingdom)","Defet, Maria, fl. 1650","Godeschalck, Joos, fl. 1636-1650",1650-10-31T00:00:00Z,1650,,"London, England, United Kingdom","London, England, United Kingdom"
