Description,Author,Recipient,Date,Year,Location,Origin,Destination
"3 Jan 1636: Vico-Dimmer, Jeanne Marie, fl. 1636-1645 (Venice, Veneto, Italy) to Huygens, Constantijn, 1596-1687 (The Hague, South Holland, Netherlands)","Vico-Dimmer, Jeanne Marie, fl. 1636-1645","Huygens, Constantijn, 1596-1687",1636-01-03T00:00:00Z,1636,"Universiteitsbibliotheek Leiden, Leiden University Library
Universiteitsbibliotheek, Leiden
Leiden University Libraries
Bibliotheek der Rijksuniversiteit, Leiden, Leiden, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"10 Apr 1643: Riviera, Maria Antonia, fl. 1643 (L'Aquila, Abruzzo, Italy) to Kircher, Athanasius, 1601-1680 (Rome, Latium, Italy)","Riviera, Maria Antonia, fl. 1643","Kircher, Athanasius, 1601-1680",1643-04-10T00:00:00Z,1643,"Archivio della Pontificia Università Gregoriana, Pontificia Università Gregoriana Archive
Archives of the Pontifical Gregorian University, Rome, Italy","L'Aquila, Abruzzo, Italy","Rome, Latium, Italy"
"20 Dec 1645: Vico-Dimmer, Jeanne Marie, fl. 1636-1645 (Milan, Lombardy, Italy) to Huygens, Constantijn, 1596-1687 (The Hague, South Holland, Netherlands)","Vico-Dimmer, Jeanne Marie, fl. 1636-1645","Huygens, Constantijn, 1596-1687",1645-12-20T00:00:00Z,1645,"Universiteitsbibliotheek Leiden, Leiden University Library
Universiteitsbibliotheek, Leiden
Leiden University Libraries
Bibliotheek der Rijksuniversiteit, Leiden, Leiden, Netherlands, Nederland
Holland","Milan, Lombardy, Italy","The Hague, South Holland, Netherlands"
"26 Sep 1671: Althann, Maria Eustachia von, 1632-1687 (Rome, Latium, Italy) to Kircher, Athanasius, 1601-1680 (Rome, Latium, Italy)","Althann, Maria Eustachia von, 1632-1687","Kircher, Athanasius, 1601-1680",1671-09-26T00:00:00Z,1671,"Archivio della Pontificia Università Gregoriana, Pontificia Università Gregoriana Archive
Archives of the Pontifical Gregorian University, Rome, Italy","Rome, Latium, Italy","Rome, Latium, Italy"
"1 Oct 1685: Christina, Queen of Sweden, 1626-1689 (Rome, Latium, Italy) to Huygens, Christiaan, 1629-1695 (The Hague, South Holland, Netherlands)","Christina, Queen of Sweden, 1626-1689","Huygens, Christiaan, 1629-1695",1685-10-01T00:00:00Z,1685,,"Rome, Latium, Italy","The Hague, South Holland, Netherlands"
"26 Feb 1686: Carpegna Tanari, Laura, 1625-1697 (Bologna, Emilia-Romagna, Italy) to Malpighi, Marcello, 1628-1694 (Corticella, Emilia-Romagna, Italy)","Carpegna Tanari, Laura, 1625-1697","Malpighi, Marcello, 1628-1694",1686-02-26T00:00:00Z,1686,,"Bologna, Emilia-Romagna, Italy","Corticella, Emilia-Romagna, Italy"
"28 May 1686: Facchinetti Pamphilj, Violante, 1649-1716 (Meldola, Emilia-Romagna, Italy) to Malpighi, Marcello, 1628-1694","Facchinetti Pamphilj, Violante, 1649-1716","Malpighi, Marcello, 1628-1694",1686-05-28T00:00:00Z,1686,,"Meldola, Emilia-Romagna, Italy",
"10 Oct 1686: Tingoli, Maria Francesca, fl.  until 1712 (Bologna, Emilia-Romagna, Italy) to Malpighi, Marcello, 1628-1694 (Corticella, Emilia-Romagna, Italy)","Tingoli, Maria Francesca, fl.  until 1712","Malpighi, Marcello, 1628-1694",1686-10-10T00:00:00Z,1686,,"Bologna, Emilia-Romagna, Italy","Corticella, Emilia-Romagna, Italy"
"14 Dec 1686: Christina, Queen of Sweden, 1626-1689 (Rome, Latium, Italy) to Bayle, Pierre, 1647-1706 (Rotterdam, South Holland, Netherlands)","Christina, Queen of Sweden, 1626-1689","Bayle, Pierre, 1647-1706",1686-12-14T00:00:00Z,1686,"Bibliothèque municipale de Lyon, Bibliotheque municipale de Lyon
Bibliothèque de la Ville
BML
La Bibliothèque municipale de Lyon, Lyon, France, British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","Rome, Latium, Italy","Rotterdam, South Holland, Netherlands"
"1 Feb 1689: Bonelli, Flavia, d.1691 (Padua, Veneto, Italy) to Malpighi, Marcello, 1628-1694","Bonelli, Flavia, d.1691","Malpighi, Marcello, 1628-1694",1689-02-01T00:00:00Z,1689,,"Padua, Veneto, Italy",
"22 Jan 1692: Pico della Mirandola, Brigida, 1633-1720 (Mirandola, Emilia-Romagna, Italy) to Malpighi, Marcello, 1628-1694","Pico della Mirandola, Brigida, 1633-1720","Malpighi, Marcello, 1628-1694",1692-01-22T00:00:00Z,1692,,"Mirandola, Emilia-Romagna, Italy",
"10 Sep 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Turin, Piedmont, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-09-10T00:00:00Z,1739,,"Turin, Piedmont, Italy","Cavendish Square, London, England"
"25 Sep 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-09-25T00:00:00Z,1739,,"Venice, Veneto, Italy","Cavendish Square, London, England"
"1 Oct 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-10-01T00:00:00Z,1739,,"Venice, Veneto, Italy","Cavendish Square, London, England"
"14 Oct 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-10-14T00:00:00Z,1739,,"Venice, Veneto, Italy","Cavendish Square, London, England"
"15 Oct 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-10-15T00:00:00Z,1739,,"Venice, Veneto, Italy","Cavendish Square, London, England"
"1 Nov 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-11-01T00:00:00Z,1739,,"Venice, Veneto, Italy","Cavendish Square, London, England"
"20 Nov 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-11-20T00:00:00Z,1739,,"Venice, Veneto, Italy",
"11 Dec 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-12-11T00:00:00Z,1739,,"Venice, Veneto, Italy","Cavendish Square, London, England"
"3 Sep 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Florence, Tuscany, Italy) to Montagu, Edward Wortley, 1678-1761 (Wharncliffe Lodge, Wortley, Sheffield, South Yorkshire, England, United Kingdom)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1740-09-03T00:00:00Z,1740,,"Florence, Tuscany, Italy","Wharncliffe Lodge, Wortley, Sheffield, South Yorkshire, England, United Kingdom"
"11 Sep 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Florence, Tuscany, Italy) to Montagu, Edward Wortley, 1678-1761","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1740-09-11T00:00:00Z,1740,,"Florence, Tuscany, Italy",
"22 Oct 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Rome, Latium, Italy) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1740-10-22T00:00:00Z,1740,,"Rome, Latium, Italy","Cavendish Square, London, England"
